CountryName,CapitalLatitude,CapitalLongitude,ContinentName,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Cape Verde,14.916666666666666,-23.516667,Africa,144,56,16,4.0
Central African Republic,4.366666666666666,18.583333,Africa,17,2,1,1.8
Chad,12.1,15.033333,Africa,15,1,1,0.4
Chile,-33.45,-70.666667,South America,130,124,172,7.6
China,39.91666666666666,116.383333,Asia,79,192,8,5.0
Colombia,4.6,-74.083333,South America,159,76,3,4.2
Comoros,-11.7,43.233333,Africa,1,3,1,0.1
Cook Islands,-21.2,-159.766667,Australia,0,254,74,5.9
Costa Rica,9.933333333333334,-84.083333,Central America,149,87,11,4.4
Cote d'Ivoire,6.816666666666666,-5.266667,Africa,37,1,7,4.0
Croatia,45.8,16.0,Europe,230,87,254,10.2
Cuba,23.116666666666667,-82.35,North America,93,137,5,4.2
Cyprus,35.166666666666664,33.366667,Europe,192,154,113,8.2
Czech Republic,50.083333333333336,14.466667,Europe,361,170,134,11.8
Democratic Republic of the Congo,-4.316666666666666,15.3,Africa,32,3,1,2.3
Denmark,55.66666666666666,12.583333,Europe,224,81,278,10.4
Djibouti,11.583333333333334,43.15,Africa,15,44,3,1.1
Dominica,15.3,-61.4,North America,52,286,26,6.6
Dominican Republic,18.466666666666665,-69.9,North America,193,147,9,6.2
Ecuador,-0.2166666666666666,-78.5,South America,162,74,3,4.2
Egypt,30.05,31.25,Africa,6,4,1,0.2
El Salvador,13.7,-89.2,Central America,52,69,2,2.2
Equatorial Guinea,3.75,8.783333,Africa,92,0,233,5.8
Eritrea,15.333333333333334,38.933333,Africa,18,0,0,0.5
Estonia,59.43333333333333,24.716667,Europe,224,194,59,9.5
Ethiopia,9.033333333333331,38.7,Africa,20,3,0,0.7
Federated States of Micronesia,6.916666666666667,158.15,Australia,62,50,18,2.3
Fiji,-18.133333333333333,178.416667,Australia,77,35,1,2.0
Finland,60.16666666666666,24.933333,Europe,263,133,97,10.0
France,48.86666666666667,2.333333,Europe,127,151,370,11.8
Gabon,0.3833333333333333,9.45,Africa,347,98,59,8.9
Georgia,41.68333333333333,44.833333,Europe,52,100,149,5.4
Germany,52.516666666666666,13.4,Europe,346,117,175,11.3
Ghana,5.55,-0.216667,Africa,31,3,10,1.8
Greece,37.98333333333333,23.733333,Europe,133,112,218,8.3
Grenada,12.05,-61.75,North America,199,438,28,11.9
Guatemala,14.616666666666667,-90.516667,Central America,53,69,2,2.2
Guinea,9.5,-13.7,Africa,9,0,2,0.2
Guinea-Bissau,11.85,-15.583333,Africa,28,31,21,2.5
Guyana,6.8,-58.15,South America,93,302,1,7.1
Haiti,18.53333333333333,-72.333333,North America,1,326,1,5.9
Honduras,14.1,-87.216667,Central America,69,98,2,3.0
